1_Portfolio_identifying_data;2_Type_of_identification_code_for_the_fund_share_or_portfolio;3_Portfolio_name;4_Portfolio_currency_(B);5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency;6_Valuation_date;7_Reporting_date;8_Share_price;8b_Total_number_of_shares;9_Cash_ratio;10_Portfolio_modified_duration;11_Complete_SCR_delivery;12_CIC_code_of_the_instrument;13_Economic_zone_of_the_quotation_place;14_Identification_code_of_the_instrument;15_Type_of_identification_code_for_the_instrument;16_Grouping_code_for_multiple_leg_instruments;17_Instrument_name;17b_Asset_liability;18_Quantity;19_Nominal_amount;20_Contract_size_for_derivatives;21_Quotation_currency_(A);22_Market_valuation_in_quotation_currency_(A);23_Clean_market_valuation_in_quotation_currency_(A);24_Market_valuation_in_portfolio_currency_(B);25_Clean_market_valuation_in_portfolio_currency_(B);26_Valuation_weight;27_Market_exposure_amount_in_quotation_currency_(A);28_Market_exposure_amount_in_portfolio_currency_(B);29_Market_exposure_amount_for_the_3rd_quotation_currency_(C);30_Market_exposure_in_weight;31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV;32_Interest_rate_type;33_Coupon_rate;34_Interest_rate_reference_identification;35_Identification_type_for_interest_rate_index;36_Interest_rate_index_name;37_Interest_rate_margin;38_Coupon_payment_frequency;39_Maturity_date;40_Redemption_type;41_Redemption_rate;42_Callable_putable;43_Call_put_date;44_Issuer_bearer_option_exercise;45_Strike_price_for_embedded_(call_put)_options;46_Issuer_name;47_Issuer_identification_code;48_Type_of_identification_code_for_issuer;49_Name_of_the_group_of_the_issuer;50_Identification_of_the_group;51_Type_of_identification_code_for_issuer_group;52_Issuer_country;53_Issuer_economic_area;54_Economic_sector;55_Covered_not_covered;56_Securitisation;57_Explicit_guarantee_by_the_country_of_issue;58_Subordinated_debt;58b_Nature_of_the_tranche;59_Credit_quality_step;60_Call_Put_Cap_Floor;61_Strike_price;62_Conversion_factor_(convertibles)_concordance_factor_parity_(options);63_Effective_date_of_instrument;64_Exercise_type;65_Hedging_rolling;67_CIC_of_the_underlying_asset;68_Identification_code_of_the_underlying_asset;69_Type_of_identification_code_for_the_underlying_asset;70_Name_of_the_underlying_asset;71_Quotation_currency_of_the_underlying_asset_(C);72_Last_valuation_price_of_the_underlying_asset;73_Country_of_quotation_of_the_underlying_asset;74_Economic_area_of_quotation_of_the_underlying_asset;75_Coupon_rate_of_the_underlying_asset;76_Coupon_payment_frequency_of_the_underlying_asset;77_Maturity_date_of_the_underlying_asset;78_Redemption_profile_of_the_underlying_asset;79_Redemption_rate_of_the_underlying_asset;80_Issuer_name_of_the_underlying_asset;81_Issuer_identification_code_of_the_underlying_asset;82_Type_of_issuer_identification_code_of_the_underlying_asset;83_Name_of_the_group_of_the_issuer_of_the_underlying_asset;84_Identification_of_the_group_of_the_underlying_asset;85_Type_of_the_group_identification_code_of_the_underlying_asset;86_Issuer_country_of_the_underlying_asset;87_Issuer_economic_area_of_the_underlying_asset;88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset;89_Credit_quality_step_of_the_underlying_asset;90_Modified_duration_to_maturity_date;91_Modified_duration_to_next_option_exercise_date;92_Credit_sensitivity;93_Sensitivity_to_underlying_asset_price_(delta);94_Convexity_gamma_for_derivatives;94b_Vega;95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund;97_SCR_mrkt_IR_up_weight_over_NAV;98_SCR_mrkt_IR_down_weight_over_NAV;99_SCR_mrkt_eq_type1_weight_over_NAV;100_SCR_mrkt_eq_type2_weight_over_NAV;101_SCR_mrkt_prop_weight_over_NAV;102_SCR_mrkt_spread_bonds_weight_over_NAV;103_SCR_mrkt_spread_structured_weight_over_NAV;104_SCR_mrkt_spread_derivatives_up_weight_over_NAV;105_SCR_mrkt_spread_derivatives_down_weight_over_NAV;105a_SCR_mrkt_FX_up_weight_over_NAV;105b_SCR_mrkt_FX_down_weight_over_NAV;106_Asset_pledged_as_collateral;107_Place_of_deposit;108_Participation;110_Valorisation_method;111_Value_of_acquisition;112_Credit_rating;113_Rating_agency;114_Issuer_economic_area;115_Fund_issuer_code;116_Fund_issuer_code_type;117_Fund_issuer_name;118_Fund_issuer_sector;119_Fund_issuer_group_code;120_Fund_issuer_group_code_type;121_Fund_issuer_group_name;122_Fund_issuer_country;123_Fund_CIC;123a_Fund_custodian_country;124_Duration;125_Accrued_income_(Security Denominated Currency);126_Accrued_income_(Portfolio Denominated Currency);127_Bond_floor_(convertible_instrument_only);128_Option_premium_(convertible_instrument_only);129_Valuation_yield;130_Valuation_z_spread;131_Underlying_asset_category;132_Infrastructure_investment;133_custodian_name;1000_tpt_Version
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;LYX0BX;1;;;A;129.8;;;EUR;1153.922;1153.922;1153.922;1153.922;0.92218;1153.922;1153.922;;0.92146;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;0;-0.0035965;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;LYX0AG;1;;;A;20.18;;;EUR;3174.7176;3174.7176;3174.7176;3174.7176;2.5371;3174.7176;3174.7176;;2.5352;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.0098949;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;ETF012;1;;;A;71;;;EUR;14195.74;14195.74;14195.74;14195.74;11.3449;14195.74;14195.74;;11.336;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;0;-0.044245;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A0DPMW;1;;;A;63.52;;;EUR;738.7376;738.7376;738.7376;738.7376;0.59038;738.7376;738.7376;;0.58992;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.0023025;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;BASF11;1;;;A;39;;;EUR;3055.26;3055.26;3055.26;3055.26;2.4417;3055.26;3055.26;;2.4398;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.010587;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A0LGQL;1;;;A;723;;;USD;15966.25;15966.25;15966.25;15966.25;12.7598;15966.25;15966.25;;12.7498;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;0;0;-0.031899;;;;;0.042533;-0.02552;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;ETF090;1;;;A;53;;;EUR;4817.7;4817.7;4817.7;4817.7;3.8502;4817.7;4817.7;;3.8472;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;;;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;GOLDPHYS;1;;;A;10.31;;;EUR;10827.3558;10827.3558;10827.3558;10827.3558;8.6529;10827.3558;10827.3558;;8.6462;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;;;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;BTCOIN;1;;;A;1.98;;;EUR;488.9016;488.9016;488.9016;488.9016;0.39072;488.9016;488.9016;;0.39041;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;;;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;ODAXC20160318;1;;;L;-0.01;;5;EUR;-24.3671;-24.3671;-24.3671;-24.3671;-0.019474;-24.3671;-24.3671;;-0.019458;;;;;;;;1;2016-11-18;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;EU;;EQ_DE;3;99;;;;;1;;1;;;;;;9;;;9;;1;;;;;;2.2245;0.0012301;120.5832;;-2.1043e-06;2.9217e-06;0;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;EQFORW01;1;;;A;1;;0.01;EUR;0.73976;0.73976;0.73976;0.73976;0.0005912;98.7439;98.7439;9820;0.078852;;;;;;;;1;2018-10-17;;;;;B;9800;;;9;;;9;;1;;;;;;;9;;9800;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;0.01;0;0;;2.9333e-06;-4.1336e-06;-0.00030607;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;SYNTH01;1;;;A;0.1;;;EUR;3.8399;3.8399;3.8399;3.8399;0.0030688;3.8399;3.8399;;0.0030664;;;;;;;;1;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;1.76e-07;-2.4802e-07;;;0;;;;;1.0111e-05;-6.0666e-06;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;CASH_EUR;1;;;A;1000;;;EUR;1000;1000;1000;1000;0.79917;1000;1000;;0.79855;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;0;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;114171;1;;;A;10;1000;;EUR;995.8885;995.8885;995.8885;995.8885;0.79589;995.8885;995.8885;;0.79526;;Fixed;0;;;IR_EUR;;1;2020-04-21;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;3.811;;;;14.5234;;;-1.997e-05;2.9813e-05;0;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;TEST_CAP;1;;;A;1;100;;EUR;17.333;17.333;17.333;17.333;0.013852;17.333;17.333;;0.013841;;;0;;;IR_EUR;;1;2018-06-30;;;Cap;;B;0.005;;;9;;;9;;1;;;;;;;9;Cap;0.005;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;0;;;;0;;;-3.2105e-07;4.4889e-07;0;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A1ZKC4;1;;;A;10;1000;;EUR;1115.9087;1113.6156;1115.9087;1113.6156;0.8918;1115.9087;1115.9087;;0.89111;;Floating;0;IR_EUR;;IR_EUR;0.03;1;2020-06-03;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;3.7652;;;;14.5362;;;-2.8676e-05;4.0371e-05;0;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
