%RF_EQ_DE	RF_EQ_EUR	RF_EQ_EU	RF_EQ_NA	RF_EQ_AP	RF_EQ_EM	RF_COM_DIV	RF_RE_DM	RF_COM_GOLD	RF_COM_SILVER	RF_ALT_BC	RF_FX_EURUSD	RF_VOLA_EQ_DE	RF_IR_EUR_1Y	RF_IR_EUR_10Y	RF_IR_EUR_20Y	RF_IR_USD_1Y	RF_IR_USD_5Y	RF_IR_USD_10Y	RF_VOLA_COM_GOLD	RF_SPREAD_EUR_HY_5Y
0.40359487	0.42073935	0.31553421	0.33720469	0.07834344	0.17089863	0.10085567	0.03582193	-0.29136512	0.04380945	1	0.04703038	-0.51737691	-0.07692857	0.02322379	0.09757195	0.0018602	0.18166255	0.21511636	-0.16488832	-0.0607272348
-0.61216075	-0.57521689	-0.51734249	-0.55072329	-0.62283285	-0.28971895	-0.06809614	-0.58890867	-0.4320249	-0.35152585	0.04703038	1	0.08353711	0.17983629	0.16777912	0.14055698	-0.16598589	0.19175744	0.3103222	-0.08047174	0.0076986323
-0.62284355	-0.69102309	-0.54845732	-0.62682214	-0.24642833	-0.36024011	-0.16260018	-0.32081885	0.23800852	-0.03033892	-0.51737691	0.08353711	1	-0.03756182	0.08644932	0.07639252	0.09005236	-0.21350581	-0.17682845	0.19118137	0.0359528867
-0.06524567	-0.01053628	-0.08042557	-0.0141706	-0.11478477	0.05033381	0.05332976	0.22159299	-0.06362521	-0.03414212	-0.07692857	0.17983629	-0.03756182	1	0.16482362	0.09718718	-0.18234548	-0.07000336	-0.14359275	-0.09786665	-0.0082923247
-0.19734282	-0.1712586	-0.22367841	-0.10841784	-0.17069858	-0.23360306	-0.0817752	-0.1910414	-0.19258	-0.21507367	0.02322379	0.16777912	0.08644932	0.16482362	1	0.94943294	0.03576294	0.19143718	0.26156122	-0.10471485	0.015172476
-0.24681898	-0.20785952	-0.2833186	-0.15798437	-0.24335781	-0.34396256	-0.05820945	-0.24691663	-0.15323616	-0.13449476	0.09757195	0.14055698	0.07639252	0.09718718	0.94943294	1	-0.01350172	0.13616532	0.2280774	-0.15029033	0.0285392389
0.04582451	0.09558871	0.02667638	0.22442445	-0.03483855	-0.26230767	-0.51920859	-0.19677168	-0.15587108	-0.18184503	0.0018602	-0.16598589	0.09005236	-0.18234548	0.03576294	-0.01350172	1	0.58901123	0.47267647	0.10190434	-0.0301679069
0.05205627	0.14270005	0.15610599	0.34288554	0.06960425	-0.02680595	-0.09022359	-0.40090849	-0.47737107	-0.34345505	0.18166255	0.19175744	-0.21350581	-0.07000336	0.19143718	0.13616532	0.58901123	1	0.93839317	-0.09825033	-0.1674418198
-0.03329206	0.06016718	0.09308009	0.19591182	0.01256621	-0.09918442	-0.01146888	-0.58784354	-0.53655966	-0.37774629	0.21511636	0.3103222	-0.17682845	-0.14359275	0.26156122	0.2280774	0.47267647	0.93839317	1	-0.01790569	-0.1766234203
-0.14692147	-0.17133163	-0.11299047	-0.13455683	0.00138863	-0.24754376	-0.20583062	-0.24496219	-0.22442541	-0.41708995	-0.16488832	-0.08047174	0.19118137	-0.09786665	-0.10471485	-0.15029033	0.10190434	-0.09825033	-0.01790569	1	0.013248369
-0.032068739	-0.0004105669	0.0376210567	-0.0210689181	-0.0022903796	-0.0122959169	-0.0093810827	-0.024429074	0.0294497414	0.0169987468	-0.0607272348	0.0076986323	0.0359528867	-0.0082923247	0.015172476	0.0285392389	-0.0301679069	-0.1674418198	-0.1766234203	0.013248369	1
